"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R16,R15,R20,R11,R10,R17,R19";"R_0402_1005Metric";7;"0R";;;
2;"C37,C11,C14,C12,C4,C8,C3,C2,C7,C35,C6,C34,C1";"C_0402_1005Metric";13;"100n";;;
3;"R2,R5";"R_0402_1005Metric";2;"10k";;;
4;"PS1";"SON50P200X300X80-13N_TPS62740DSSR";1;"TPS62740DSSR";;;
5;"IC4";"QFN50P700X700X65-49N-D";1;"STM32WBA52CGU6";;;
6;"C19,C36";"C_0402_1005Metric";2;"1.5pF";;;
7;"C18";"C_0805_2012Metric";1;"4.7uF";;;
8;"R1,R4";"R_0402_1005Metric";2;"4.7k";;;
9;"R18,R12";"R_0603_1608Metric";2;"0R";;;
10;"C42,C22";"C_0402_1005Metric";2;"2.7pF";;;
11;"C16,C17";"C_0402_1005Metric";2;"100nF";;;
12;"C9,C38,C5,C13";"C_0603_1608Metric";4;"1µ";;;
13;"TP1";"TestPoint_Pad_D1.0mm";1;"TestPoint";;;
14;"L8,L2";"C_0402_1005Metric";2;"1.3nH";;;
15;"L3";"L_0805_2012Metric";1;"2.2u";;;
16;"C39,C40";"CAPC1005X55N";2;"GJM1555C1H6R0CB01D";;;
17;"C20,C23";"C_0805_2012Metric";2;"10u";;;
18;"MP2,MP7,MP4,MP5,MP3,MP1,MP6,MP11,MP8,MP12,MP9,MP14,MP10,MP13";"S099146R";14;"S0991-46R";;;
19;"C48,C43,C44";"C_0402_1005Metric";3;"56pF";;;
20;"R9,R13,R14";"R_0402_1005Metric";3;"500K";;;
21;"C41,C21";"C_0402_1005Metric";2;"3.9pF";;;
22;"IC9";"SOTFL48P130X55-6N";1;"CG2214M6-C2";;;
23;"IC1";"VEML6035";1;"VEML6035";;;
24;"C47,C46,C45";"C_0402_1005Metric";3;"1000pF";;;
25;"X2";"XTAL_ECS-.327-12.5-16-TR";1;"MU00658-32.768k";;;
26;"L7,L1";"C_0402_1005Metric";2;"1.8nH";;;
27;"E1";"XCVR_ANT-2.4-MSA-TH1";1;"ANT-2.4-MSA-TH1";;;
28;"IC2";"SON50P350X450X150-17N-D_PCF2131TFY";1;"PCF2131TFY";;;
29;"X3";"OSCSC105P160X120X35-4N";1;"NX1612SA-32.000MHZ-CHP-CIS-3";;;
30;"C15";"C_0603_1608Metric";1;"470nF";;;
31;"J2";"TC2030-MCP-NL";1;"TC2030_SWD-MCP-NL";;;
32;"R3";"R_0603_1608Metric";1;"1k";;;
33;"IC8";"SOP65P640X120-8N";1;"M24M01-DFDW6TP";;;
34;"J4";"SHDR2W64P0X250_1X2_450X580X1170P";1;"22-04-1021";;;
35;"IC5";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
36;"FL1";"2450FM07D0034T";1;"2450FM07D0034T";;;
37;"C33,C32";"C_0603_1608Metric";2;"10n";;;
38;"C26";"CAPC1005X55N";1;"GRM155R60J106ME15D";;;
39;"IC3";"QFN40P300X300X105-25N-D_ICM20948";1;"ICM-20948";;;
40;"IC6";"QFN50P400X400X100-25N-D_SX1280";1;"SX1280IMLTRT";;;
41;"L5";"VLS3015";1;"VLS3015CX-2R2M-H";;;
42;"R6";"RESC1005X40N";1;"CRCW04025K11FKED";;;
43;"R8";"R_0805_2012Metric";1;"1R";;;
44;"C31";"C_0603_1608Metric";1;"470n";;;
45;"IC7";"SON50P250X250X80-11N-D";1;"TPS63900DSKR";;;
46;"IC10";"SOT65P210X110-5N";1;"NC7SZ04P5X";;;
47;"G***";"KULeuven6000";1;"LOGO";;;
48;"X4";"OSCCC200X160X50N";1;"NX2016SA-52MHZ-EXS00A-CS07103";;;
49;"LED1";"APDA3020LSECKJ3PF";1;"APDA3020LSECK_J3-PF";;;
50;"J1";"9191021515LF";1;"91910-21515LF";;;
51;"L6";"L_0603_1608Metric";1;"15µ";;;
52;"C30";"CAPPRD350W52D800H1350";1;"HV0810-2R7105-R";;;
53;"R7";"RESC1005X40N";1;"CRCW0402511RFKED";;;
