"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C23";"C_0402_1005Metric";1;"10u";;;
2;"J1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC2030_SWD-MCP-NL";;;
3;"E1";"XDCR_2450AT42E0100E";1;"609-2450AT42E0100001";;;
4;"C27,C25,C24,C9,C10,C7,C19,C26,C11,C29";"C_0402_1005Metric";10;"100n";;;
5;"C31";"C_0402_1005Metric";1;"220n";;;
6;"C1,C2";"C_0402_1005Metric";2;"DNP";;;
7;"U2";"RSE0008A";1;"TPS22960RSER";;;
8;"C21,C20,C22";"C_0402_1005Metric";3;"4.7u";;;
9;"D1";"LED_0603_1608Metric";1;"LED, RED";;;
10;"L3";"L_0402_1005Metric";1;"DNP";;;
11;"TP10,TP1,TP8,TP2,TP4,TP5,TP11,TP9,TP6,TP7";"TestPoint_Pad_D1.0mm";10;"TestPoint";;;
12;"L2";"L_0805_2012Metric";1;"LQM21DN100M70L - 10u";;;
13;"C28";"C_0402_1005Metric";1;"1u";;;
14;"R4";"R_0402_1005Metric";1;"470k";;;
15;"U3";"VSON8_2P1X1P6_TEX";1;"TPS62840DLCR";;;
16;"R6";"R_0402_1005Metric";1;"0";;;
17;"L4";"L_Murata_DFE201610P";1;"81-DFE201612E-2R2MP2 - 2u2";;;
18;"R2";"R_0402_1005Metric";1;"R";;;
19;"Y1";"XTAL_ECS-.327-6-1210-TR";1;"520-.327-6-1210-TR (32.768kHz)";;;
20;"C15,C30";"C_0201_0603Metric";2;"3p";;;
21;"L1";"L_0402_1005Metric";1;"LQG15HN22NG02D - 22n";;;
22;"Y2";"OSCSC105P160X120X35-4N";1;"NX1612SA-32.000MHZ-CHP-CIS-3";;;
23;"IC1";"ICM20948";1;"ICM-20948";;;
24;"C12,C13";"C_0402_1005Metric";2;"6p";;;
25;"C18";"C_0402_1005Metric";1;"20p";;;
26;"R5";"R_0402_1005Metric";1;"220k";;;
27;"R3";"R_0402_1005Metric";1;"100k";;;
28;"IC3";"MLPFNRG01D3";1;"MLPF-NRG-01D3";;;
29;"U4";"QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm";1;"STM32WB09KEVx";;;
30;"B1";"WA-BCMC_79523211";1;"WA-BCMC";;;
